iter,tokens,train_loss,val_loss,lr,elapsed_s,mfu
0,0,8.939573,8.922770,2.000000e-06,5.23,0.0000
100,1228800,1.302512,1.308228,2.000000e-04,28.08,0.0000
200,2457600,0.445902,0.462656,1.987725e-04,51.15,0.0000
300,3686400,0.364762,0.376631,1.951236e-04,74.71,0.1123
400,4915200,0.329549,0.335123,1.891526e-04,98.55,0.1123
500,6144000,0.310664,0.315467,1.810226e-04,122.54,0.1118
600,7372800,0.304401,0.308145,1.709553e-04,149.53,0.1118
700,8601600,0.298062,0.305602,1.592253e-04,176.19,0.1102
800,9830400,0.296437,0.303611,1.461526e-04,204.11,0.1102
900,11059200,0.288875,0.302284,1.320937e-04,231.37,0.1076
1000,12288000,0.290525,0.297970,1.174321e-04,258.52,0.1076
1100,13516800,0.288018,0.297473,1.025679e-04,286.99,0.1052
1200,14745600,0.286453,0.295272,8.790631e-05,313.47,0.1052
1300,15974400,0.285000,0.296093,7.384741e-05,340.03,0.1042
1400,17203200,0.284091,0.292008,6.077467e-05,367.12,0.1042
1500,18432000,0.283194,0.292660,4.904466e-05,394.56,0.1034
1600,19660800,0.280414,0.293234,3.897735e-05,421.32,0.1034
1700,20889600,0.280228,0.289973,3.084736e-05,448.29,0.1023
1800,22118400,0.281246,0.289172,2.487645e-05,475.98,0.1023
1900,23347200,0.281410,0.289738,2.122748e-05,503.65,0.1014
1999,24563712,0.280557,0.289214,2.000012e-05,530.63,0.1014
